'','00-musicxml','01-libreoffice-spreadsheetml','02-svg-example','03-nunitreport','04-sick-of-beige-svg','05-pocket2keepass','06-docbook-html5','07-ead2002-to-wordml','08-epub-nav','09-zefania2html','10-dc2mods','11-sphinxxml2review','12-umbraco-mediahelper','13-brainfuck','14-iati-activities-rdf','15-github2html'
'ArbitraryExpressionPredicate(true)','-','-','-','-','-','-','-','-','-','-','X','-','X','-','-','X'
'Namespaces','-','X','X','-','X','-','-','X','-','-','X','-','-','-','X','-'
'AxesUsedInSelectors','child, self, attribute, parent','parent, descendant-or-self, following-sibling, ancestor, ancestor-or-self, self, descendant, child, preceding, attribute, preceding-sibling','child, self, attribute','child, attribute','child, attribute','child, attribute','parent, descendant-or-self, self, child, attribute','child, self, attribute, parent','child','child, self, attribute, parent','child, self, parent','child, self, attribute, parent','child, self, attribute, descendant','child, attribute','parent, descendant-or-self, self, child, attribute','descendant-or-self, child, self, attribute'
'XPathFunctions','','number, false, name, count, normalize-space, concat, function-available, starts-with, string, key, substring-before, exsl:node-set, set:distinct, floor, not, translate, true, position, round, string-length, substring, substring-after, contains, sum','position, number','','normalize-space, string, concat, number','translate','count, document, normalize-space, concat, namespace-uri, last, local-name, position','last, position, string','','','concat, starts-with, string, not, string-length, substring, substring-after, contains','normalize-space, count, not, name','normalize-space, concat, umb:GetMedia, not, umb:Split, contains','substring-before, not, string-length, contains','normalize-space, translate, concat','concat, local-name, starts-with'
'BooleanXPathExpressions','-','X','-','-','-','-','X','X','X','-','X','-','X','X','-','X'
'AttributeExistencePredicate(false)','-','X','-','-','-','-','-','-','-','-','-','-','X','-','-','-'
'OtherTopLevelElements','','key','','','','','','strip-space','','','','','','','',''
'UnionSelectors','X','X','-','-','X','X','X','X','-','-','X','-','-','-','-','X'
'ElementCreation','X','X','-','-','-','X','X','-','-','-','-','-','-','-','-','X'
'MaxPatternStepCount','1','2','1','1','1','1','3','5','1','1','1','5','1','1','0','2'
'TopLevelVariables','-','X','-','-','X','-','-','-','-','X','X','-','-','X','-','-'
'ChooseConditionals','-','X','-','-','-','-','X','X','X','-','X','X','X','X','-','-'
'AttributeValueTemplates','-','X','X','X','X','X','X','-','-','X','-','-','X','-','X','X'
'AbsolutePathSelectors','-','X','-','-','-','-','X','-','X','X','-','-','-','-','X','X'
'OtherInstructions','copy, copy-of, value-of','copy-of, value-of, message','value-of','value-of','copy, value-of','value-of','copy-of, value-of, message','value-of','value-of, number','copy-of, value-of','value-of','value-of','value-of','copy, copy-of, value-of','value-of','copy-of, value-of'
'Variables','X','X','X','-','X','-','X','-','-','X','X','-','X','X','-','-'
'TemplateParameters','-','X','X','-','X','-','X','-','-','-','X','-','X','X','-','-'
'IfConditionals','X','X','X','-','X','-','X','X','X','-','X','-','X','-','X','-'
'LiteralText','-','X','X','X','X','-','X','X','X','X','-','X','-','-','-','X'
'OutputMethod','xml','xml','html','html','xml','xml','default','xml','default','html','xml','text','xml','xml','xml','xml'
'TemplateModes','-','X','X','X','-','-','X','-','-','X','-','-','X','-','-','-'
'UnionPatterns','X','X','-','-','X','X','X','X','-','-','-','-','-','-','-','X'
'ForEach','X','X','X','-','-','-','X','X','X','-','X','X','-','-','X','X'
'ProcessingInstructionCreation','-','-','X','-','-','-','-','X','-','-','-','-','-','-','-','-'
'AttributeExistencePredicate(true)','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','X'
'DescendantPatterns(true)','-','-','-','-','-','-','X','-','-','-','-','-','-','-','-','X'
'TextCreation','-','X','-','-','-','-','X','X','-','X','X','X','-','-','-','-'
'LiteralElements','-','X','X','X','X','-','X','X','X','X','X','-','X','-','X','X'
'SortInstruction','-','-','-','-','-','-','-','X','-','-','-','-','-','-','-','-'
'AttributeCreation','X','X','-','-','X','-','X','-','-','-','X','-','X','-','-','X'
'Version','1.0','1.1','1.0','1.0','1.0','1.0','1.0','1.0','1.0','1.0','1.0','1.0','1.0','1.0','1.0','1.0'
'TopLevelParams','-','X','X','-','X','-','X','-','-','-','-','-','-','-','-','-'
'ArithmeticXPathExpressions','-','X','X','-','X','-','-','-','-','-','-','-','-','-','-','-'
'AttributeLiteralValuePredicate(false)','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','X'
'ResultTreeFragments','X','X','X','-','-','-','X','-','-','X','X','-','X','X','-','-'
'AttributeLiteralValuePredicate(true)','-','-','-','X','-','-','-','-','-','-','-','-','-','-','-','X'
'LiteralPositionPredicate(false)','X','X','-','-','-','-','-','X','-','-','-','-','-','-','-','-'
'NamedTemplates','-','X','X','-','X','-','X','X','-','-','X','-','-','X','-','-'
'ArbitraryExpressionPredicate(false)','X','X','-','-','-','-','-','-','X','-','X','X','X','-','-','-'
